1148,1148.email@gmail.com,Diana,Sanchez,3385976636,1985-02-13,female,0,4508865076,Colombia,Medellin,Técnico,3000000,,false,false,,,,,"[{""id"":855520,""institute"":""Universidad América de Medellín "",""title"":""Administración de empresas "",""start_date"":""2017-02-12"",""end_date"":""2020-01-12"",""in_progress"":true,""info_studies"":null,""study_type"":""professional""}]","[{""company"":""Cj tours "",""position"":""Servicio al cliente "",""start_date"":""2017-12-12"",""end_date"":""2018-11-12"",""at_present"":false,""description"":""Vender planes de viajes a nivel nacional e internacional "",""job_functions"":null,""withdrawal_reason"":null,""other_withdrawal_reason"":null}]",[]
3453,3453.email@gmail.com,Luis,Sanchez,3881512149,1997-04-29,,1,7690068608,Venezuela,Soledad,Especialización/ Maestría,,,false,false,,,,,[],[],[]
5039,5039.email@hotmail.com,Yuliana,Sanchez,3232397103,1992-12-04,,0,5408643047,Colombia,Medellin,Tecnólogo,,"Tecnóloga en Gestión Administrativa, con conocimientos en las herramientas ofimáticas y en plataformas como SAP y ACCESS. Persona respetuosa, honesta y responsable con los deberes que le son asignados para el desarrollo de su cargo; Con capacidad para tomar decisiones, asumir nuevos retos y disposición de adquirir nuevos conocimientos y enriquecer más los conocimientos ya adquiridos, en aras del logro de los objetivos organizacionales. 
",false,false,,,,,"[{""id"":251328,""institute"":""Instituto tecnológico metropolitano"",""title"":""tecnóloga en gestión administrativa"",""start_date"":""2014-02-01"",""end_date"":""2018-04-01"",""in_progress"":false,""info_studies"":null,""study_type"":null}]","[{""company"":""Compañía de galletas Noel"",""position"":""practicante de gestión humana"",""start_date"":""2017-01-01"",""end_date"":""2018-02-01"",""at_present"":false,""description"":null,""job_functions"":null,""withdrawal_reason"":null,""other_withdrawal_reason"":null},{""company"":""Ducon S.A.S"",""position"":""secretaria de ventas"",""start_date"":""2018-04-01"",""end_date"":""2018-12-01"",""at_present"":false,""description"":null,""job_functions"":null,""withdrawal_reason"":null,""other_withdrawal_reason"":null}]",[]
5464,5464.email@hotmail.com,Yuliana,Sanchez,3001804628,1996-05-18,,0,5129852074,Colombia,Medellin,Técnico,,,false,false,,,,,[],[],[]
5542,5542.email@gmail.com,Mayra,Sanchez,3499515744,1989-10-31,,0,1434767930,Colombia,Madrid,Tecnólogo,,,false,false,,,,,[],[],[]
5825,5825.email@outlook.com,Hubaldo,Orozco,,1976-08-26,,0,4278443777,Colombia,Medellin,Técnico,,,false,false,,,,,[],[],[]
6592,6592.email@gmail.com,Angel,Calderon,,1969-12-07,,0,7727370469,Venezuela,Bogota,Profesional,,,false,false,,,,,[],[],[]
7653,7653.email@gmail.com,Kandy,Sanchez,3175736388,1980-12-18,,0,169467159,Colombia,Cúcuta,Técnico,,,false,false,,,,,[],[],[]
9480,9480.email@hotmail.com,Angel,Meléndez Cardozo,3541603433,1990-03-29,,0,351539832,Colombia,Santa Marta,Tecnólogo,,,false,false,,,,,[],[],[]
11126,11126.email@gmail.com,Angel,Martinez,3488759254,1985-06-20,male,1,4935332236,Venezuela,Pereira,Bachillerato completo,,,false,false,,,,,[],[],[]
